"nazwisko";"imie";"imie2";"skreslony";"rezygnacja";"email"
"Kowalski";"Jan";"Andrzej";"0";"0";"123456@student.uczelnia.pl"
"Nowak";"Jan";"Marek";"0";"0";"122456@student.uczelnia.pl"
"Nowak";"Anna";"Magdalena";"0";"0";"234567@student.uczelnia.pl"
"Adamska";"Krystiana";"Janina";"0";"0";"345678@student.pl"
"Paw";"Anna";"Katarzyna";"0";"0";"567990@student.pl"
"Adamska";"Janina";"Jagoda";"0";"0";"34578@student.pl"
"Jaworska";"Jagoda";"Katarzyna";"0";"0";"456789@student.pl"
"Pawlak";"Filip";"Kacper";"0";"0";"567890@student.pl"
"Kaworska";"Aleksandra";"Małgorzata";"0";"0";"556789@student.pl"
"Jaworski";"Antoni";"Maciej";"0";"0";"156789@student.pl"
"Kowal";"Jan";"Marcin";"0";"0";"122777@student.uczelnia.pl"
